percentile,initial_threshold,runtime_threshold,events,event_coverage_pct,short_event_gaps,long_event_gaps,belt_minima,assists,matched_assists,missed_assists,false_assists,short_assist_gaps,crossing_to_peak_ms,motor_vs_peak_ms,speed_mps
89.0,0.23472834530737446,0.25168650107217494,78,99.499219458451,0,0,39,39,39,0,0,0,40.034447000152795,-20.034447000152795,0.8
89.0,0.30808574842916436,0.2958510836757189,85,101.13855832601169,0,0,42,41,40,2,1,0,48.33788899986757,-28.337888999867573,1.0
90.0,0.10166324577981369,0.1002946045591974,54,99.67866030536348,0,0,27,27,26,1,1,0,31.06404000004659,-11.064040000046589,0.4
90.0,0.19362919158042155,0.2045461129065494,65,98.24577183466302,0,0,32,32,32,0,0,0,28.13452700002017,-8.13452700002017,0.6
90.0,0.24468725616604797,0.2651442819773195,78,99.499219458451,0,0,39,39,39,0,0,0,31.831853000085175,-11.831853000085175,0.8
90.0,0.32786317299445134,0.3159084991863418,85,101.13855832601169,0,0,42,41,40,2,1,0,39.64588899998489,-19.64588899998489,1.0
91.0,0.1058355292901792,0.10461451804289079,54,99.67866030536348,2,1,27,26,25,2,1,0,29.8596105001252,-9.8596105001252,0.4
91.0,0.20566543587924244,0.21572042443911474,65,98.24577183466302,0,0,32,32,32,0,0,0,20.22812150005393,-0.2281215000539305,0.6
91.0,0.2563245578080799,0.28134353778492344,78,99.499219458451,0,0,39,39,39,0,0,0,28.25563900000816,-8.25563900000816,0.8
91.0,0.343690656097954,0.33638599247364054,85,101.13855832601169,0,0,42,41,40,2,1,0,31.29286100011086,-11.292861000110861,1.0
92.0,0.11013609372624446,0.10959825821911111,53,97.83275918859748,0,1,27,26,25,2,1,0,27.788886000053026,-7.788886000053026,0.4
92.0,0.21294248787038744,0.2273280753819902,65,98.24577183466302,0,0,32,32,32,0,0,0,20.076286500056995,-0.07628650005699456,0.6
92.0,0.26772945683065424,0.30456674208571566,78,99.499219458451,0,0,39,39,39,0,0,0,26.53214600013598,-6.532146000135981,0.8
92.0,0.35311000606090137,0.3611282247460447,85,101.13855832601169,0,0,42,43,42,0,1,0,28.300597999987076,-8.300597999987076,1.0
93.0,0.1171316958984032,0.11626049959184462,52,95.98685807183149,0,2,27,25,25,2,0,0,20.198254999968412,-0.19825499996841245,0.4
93.0,0.21948145096615798,0.24076194758833555,65,98.24577183466302,0,0,32,32,32,0,0,0,20.076286500056995,-0.07628650005699456,0.6
93.0,0.27679053192596215,0.3361332776226468,78,99.499219458451,0,0,39,39,39,0,0,0,20.1411170000938,-0.14111700009380002,0.8
93.0,0.36169052873836693,0.3822228521842418,85,101.13855832601169,0,0,42,43,42,0,1,0,20.978345000003173,-0.9783450000031735,1.0
94.0,0.12226071093281222,0.12358708455424758,52,95.98685807183149,0,2,27,25,25,2,0,0,20.198254999968412,-0.19825499996841245,0.4
94.0,0.23697428841682494,0.25493189909028774,63,95.22282500898108,0,2,32,31,31,1,0,0,19.964607000019896,0.03539299998010392,0.6
94.0,0.2916588292773977,0.3650441855209449,78,99.499219458451,0,0,39,39,39,0,0,0,20.03865400001814,-0.03865400001814123,0.8
94.0,0.3857167617637809,0.40830706621566953,83,98.75882754187025,0,2,42,43,42,0,1,0,20.09933199997249,-0.09933199997249176,1.0
95.0,0.13316000315173288,0.1337237942750736,51,94.1409569550655,0,3,27,24,24,3,0,0,19.99733100001322,0.002668999986781273,0.4
95.0,0.24845542014744126,0.27604099272834504,62,93.7113515961401,0,3,32,31,31,1,0,0,11.647623000044405,8.352376999955595,0.6
