file,ready,duration_s,ready_time_s,reference_kind,reference_count,detected_count,imu_count,assist_count,tp,fp,fn,precision,recall,f1,timing_mae_s,timing_bias_s,acc_threshold,gyro_threshold,belt_threshold,left_count,right_count,all_reference_count,all_detection_f1,all_detection_mae_s,gate_reference_count,assist_gate_f1,assist_gate_precision,assist_gate_recall,alternation_rate,gyro_belt_side_agreement
TEST6.csv,1,13.509237298000244,7.0145291120002184,belt_hs,4,1,10,1,0,1,4,0.0,0.0,0.0,nan,nan,0.17593513537154887,2.384454126271386,-162.00083333333333,3,7,4,0.5714285714285715,0.13163725299989437,0,0.0,0.0,0.0,0.5555555555555556,0.8
TEST7.csv,1,25.944440245999886,6.004568552999899,belt_hs,0,7,26,7,0,7,0,0.0,0.0,0.0,nan,nan,0.14740312070108785,2.0841402391476738,-139.20874999999998,13,13,0,0.0,nan,0,0.0,0.0,0.0,0.8,0.7692307692307693
TEST8.csv,1,39.85237981599994,6.008461757000077,belt_hs,0,16,42,16,0,16,0,0.0,0.0,0.0,nan,nan,0.1568615252950306,2.327180984121742,-114.45375000000001,23,19,0,0.0,nan,0,0.0,0.0,0.0,0.6829268292682927,0.7857142857142857
TEST9.csv,1,14.468278749000092,6.005690310999853,belt_hs,0,7,11,7,0,7,0,0.0,0.0,0.0,nan,nan,0.13142905516729986,1.6506844540780388,-108.89300000000001,7,4,0,0.0,nan,0,0.0,0.0,0.0,0.8,0.9090909090909091
imu_hs_torque_20260812_175250.csv,1,18.92058185299993,6.0007163319996835,old_assist,22,10,22,10,10,0,12,1.0,0.45454545454545453,0.625,0.07684182769990003,-0.02242993050003861,0.20363890870110424,1.3014895745090869,-212.44708333333335,11,11,22,0.9545454545454546,0.06460730204755583,11,0.9523809523809523,1.0,0.9090909090909091,0.9047619047619048,0.9090909090909091
imu_hs_torque_20260812_175452.csv,1,37.07860769400031,14.016047410999818,old_acc_hs,0,2,2,1,0,2,0,0.0,0.0,0.0,nan,nan,0.05,0.29827360480162984,-200.56,1,1,0,0.0,nan,0,0.0,0.0,0.0,1.0,0.5
imu_hs_torque_20260812_175823.csv,1,10.750350938999873,6.0018032690004475,old_assist,1,4,5,4,1,3,0,0.25,1.0,0.4,0.05200706100004027,0.05200706100004027,0.05263519783431094,0.5550974176325579,-157.65666666666667,4,1,1,0.33333333333333337,0.05200706100004027,1,0.4,0.25,1.0,0.25,0.8
imu_hs_torque_20260812_180103.csv,1,65.44343074399967,7.010173780999139,old_assist,16,16,28,16,9,7,7,0.5625,0.5625,0.5625,0.13864024011106973,-0.0498170849999345,0.1022472407895462,0.8869524724514418,-155.8275,16,12,16,0.7272727272727273,0.12203812568753847,12,0.5,0.4375,0.5833333333333334,0.7407407407407407,0.6785714285714286
imu_hs_torque_20260812_180238.csv,1,15.615986464999878,6.004014389000076,old_assist,13,7,16,7,6,1,7,0.8571428571428571,0.46153846153846156,0.6,0.11639886983357428,0.004001077833284701,0.1624679642722028,1.090087670508627,-193.38625000000002,8,8,13,0.896551724137931,0.13142700592309736,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8666666666666667,0.8125
imu_hs_torque_20260812_180329.csv,1,16.927817853000306,6.007437578000463,old_assist,18,9,18,9,9,0,9,1.0,0.5,0.6666666666666666,0.004912288111073495,-0.004912288111073495,0.24625535659074915,1.484558751225625,-192.56199999999998,9,9,18,1.0,0.002927856888871045,9,1.0,1.0,1.0,1.0,1.0
imu_hs_torque_20260812_180932.csv,1,17.9219807949994,6.0017858599994724,old_acc_hs,3,14,14,7,3,11,0,0.21428571428571427,1.0,0.35294117647058826,0.02958086499984347,-0.02958086499984347,0.17227261406313366,1.37007127428799,-187.32799999999997,7,7,3,0.35294117647058826,0.02958086499984347,0,0.0,0.0,0.0,1.0,1.0
imu_hs_torque_20260812_181118.csv,1,17.927117770999757,6.000033489000089,old_acc_hs,8,18,18,9,8,10,0,0.4444444444444444,1.0,0.6153846153846153,0.15611976749983114,-0.07315677374981533,0.17042423825206826,1.2857253856920694,-184.6585,9,9,8,0.6153846153846153,0.15611976749983114,4,0.6153846153846153,0.4444444444444444,1.0,0.8823529411764706,0.8888888888888888
imu_hs_torque_20260812_181302.csv,1,17.918123872999786,6.0101886140000715,old_assist,14,7,16,7,5,2,9,0.7142857142857143,0.35714285714285715,0.4761904761904762,0.12427761780018046,-0.12427761780018046,0.23570660905326452,1.4957857093485951,-195.004,7,9,14,0.7333333333333334,0.08183722890920432,6,0.7692307692307692,0.7142857142857143,0.8333333333333334,0.7333333333333333,1.0
imu_hs_torque_20260812_181446.csv,1,17.932791408000412,6.004884058000243,old_assist,4,9,19,9,4,5,0,0.4444444444444444,1.0,0.6153846153846153,0.08774066824980764,0.06340062324989049,0.198067862247996,0.956420780965173,-184.237,9,10,10,0.6896551724137931,0.07832787189990995,4,0.6153846153846153,0.4444444444444444,1.0,0.9444444444444444,1.0
imu_hs_torque_20260812_181643.csv,1,17.925096583000595,6.005425035999906,old_assist,10,12,20,12,10,2,0,0.8333333333333334,1.0,0.9090909090909091,0.13607466720004596,0.019843700400087982,0.18995388834715782,1.8511273820091412,-192.76375,12,8,20,0.9,0.13513043522218343,10,0.9090909090909091,0.8333333333333334,1.0,0.7894736842105263,1.0
imu_hs_torque_20260812_181831.csv,1,16.92444741500003,6.004351937000138,old_assist,8,10,15,10,8,2,0,0.8,1.0,0.888888888888889,0.08255065262494554,-0.027545269875076883,0.21223473118470643,1.3075085812251384,-188.396,10,5,17,0.8125,0.06924691223062276,8,0.888888888888889,0.8,1.0,0.7142857142857143,1.0
imu_hs_torque_20260812_182124.csv,1,17.926937420001195,6.006944251001187,old_assist,11,9,15,9,9,0,2,1.0,0.8181818181818182,0.9,0.1350473523335596,-0.017032862110985054,0.20915298789555076,1.2411918038656333,-187.44299999999998,9,6,21,0.8333333333333333,0.11512160866683795,11,0.9,1.0,0.8181818181818182,0.6428571428571429,1.0
imu_hs_torque_20260812_183452.csv,1,16.919200456000908,6.008116060000248,old_acc_hs,18,17,17,7,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.07334393982359068,-0.05443906829414653,0.2006941415399195,1.216064156161271,-87.77799999999999,9,8,18,0.9714285714285714,0.07334393982359068,9,0.8750000000000001,1.0,0.7777777777777778,0.875,0.8235294117647058
imu_hs_torque_20260812_183554.csv,1,15.415990448998855,6.003942340999856,old_acc_hs,13,13,13,1,11,2,2,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.07572588400018337,-0.028359234909492607,0.19747131893062725,1.294679189269293,-71.7,6,7,13,0.8461538461538461,0.07572588400018337,2,0.6666666666666666,1.0,0.5,0.75,0.6153846153846154
imu_hs_torque_20260812_183622.csv,1,16.92939098900024,6.009360797999761,old_acc_hs,18,19,19,8,16,3,2,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.10627097337521718,-0.026327422500003195,0.16770122225283848,1.134609063267391,-26.453333333333333,10,9,18,0.8648648648648649,0.10627097337521718,9,0.9411764705882353,1.0,0.8888888888888888,0.9444444444444444,0.8947368421052632
imu_hs_torque_20260812_183656.csv,1,17.931193165999503,6.000228312001127,old_assist,7,8,18,8,5,3,2,0.625,0.7142857142857143,0.6666666666666666,0.06599812940003176,-0.06599812940003176,0.22335415064709213,1.1639241966290927,-28.713000000000005,8,10,20,0.9473684210526316,0.05008588633346436,10,0.888888888888889,1.0,0.8,0.8823529411764706,1.0
imu_hs_torque_20260812_183735.csv,1,17.925848067001425,6.0041986480009655,old_acc_hs,19,18,18,5,17,1,2,0.9444444444444444,0.8947368421052632,0.918918918918919,0.12717406711742704,0.06221965923492355,0.1887078489827555,1.0644472225193764,-20.323333333333334,8,10,19,0.918918918918919,0.12717406711742704,10,0.6666666666666666,1.0,0.5,0.8823529411764706,0.7222222222222222
imu_hs_torque_20260812_183908.csv,1,17.92557411100097,6.005587371000729,old_assist,8,5,11,5,4,1,4,0.8,0.5,0.6153846153846154,0.054387264249726286,-0.054387264249726286,0.22039507069148911,1.2809456482079407,-98.193,5,6,9,0.9,0.05807431233289309,4,0.888888888888889,0.8,1.0,0.9,1.0
imu_hs_torque_20260812_184701.csv,1,16.928809671000636,6.000198842000827,old_assist,5,10,19,10,4,6,1,0.4,0.8,0.5333333333333333,0.020009840250168054,-0.020009840250168054,0.15216478174432918,0.9343583787514496,-130.96309523809526,11,8,12,0.7096774193548387,0.07090287027296488,8,0.5555555555555556,0.5,0.625,0.7222222222222222,0.7368421052631579
imu_hs_torque_20260812_184751.csv,1,17.671272835999844,6.009574229999998,old_assist,6,7,21,7,4,3,2,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.06978933100026552,-0.06978933100026552,0.19017818646453372,0.8665876940076849,-167.848,10,11,16,0.8648648648648648,0.0974360118751747,6,0.6153846153846153,0.5714285714285714,0.6666666666666666,0.95,0.8571428571428571
imu_hs_torque_20260812_184822.csv,1,16.925973080000404,6.005862022000656,old_assist,8,8,18,8,8,0,0,1.0,1.0,1.0,0.001358651875079886,-0.001358651875079886,0.18903710493768808,1.0803390785818716,-155.5,9,9,18,1.0,0.012294843555537227,8,1.0,1.0,1.0,0.9411764705882353,0.9444444444444444
